#,Date-Time (CST/CDT),Temperature   (°F),RH   (%),Dew Point   (°F),Host Connected,End of File
152,11/11/2023 11:02:55,69.01,37.830,42.26,,
153,11/11/2023 11:12:55,69.08,38.080,42.50,,
154,11/11/2023 11:22:55,69.04,37.980,42.40,,
155,11/11/2023 11:32:55,68.95,38.010,42.34,,
156,11/11/2023 11:42:55,68.86,38.040,42.28,,
157,11/11/2023 11:52:55,68.86,38.070,42.30,,
158,11/11/2023 12:02:55,69.08,37.970,42.42,,
159,11/11/2023 12:12:55,69.35,37.730,42.49,,
160,11/11/2023 12:22:55,69.35,37.760,42.52,,
161,11/11/2023 12:32:55,69.35,37.870,42.59,,
162,11/11/2023 12:42:55,69.30,38.000,42.64,,
163,11/11/2023 12:52:55,69.30,38.030,42.66,,
164,11/11/2023 13:02:55,69.26,38.040,42.63,,
165,11/11/2023 13:12:55,69.39,37.650,42.47,,
166,11/11/2023 13:22:55,69.55,37.530,42.54,,
167,11/11/2023 13:32:55,69.64,37.630,42.68,,
168,11/11/2023 13:42:55,69.69,37.790,42.84,,
169,11/11/2023 13:52:55,69.69,37.790,42.84,,
170,11/11/2023 14:02:55,69.69,37.810,42.86,,
171,11/11/2023 14:12:55,69.69,37.900,42.92,,
172,11/11/2023 14:22:55,69.69,37.730,42.80,,
173,11/11/2023 14:32:55,69.73,37.890,42.94,,
174,11/11/2023 14:42:55,69.73,37.840,42.91,,
175,11/11/2023 14:52:55,69.82,37.520,42.77,,
176,11/11/2023 15:02:55,69.98,37.520,42.92,,
177,11/11/2023 15:12:55,70.07,37.720,43.13,,
178,11/11/2023 15:22:55,70.07,37.670,43.10,,
179,11/11/2023 15:32:55,70.07,37.590,43.04,,
180,11/11/2023 15:42:55,70.07,37.790,43.18,,
181,11/11/2023 15:52:55,70.07,37.870,43.24,,
182,11/11/2023 16:02:55,70.03,37.840,43.18,,
183,11/11/2023 16:12:55,70.03,37.850,43.19,,
184,11/11/2023 16:22:55,69.98,37.850,43.14,,
185,11/11/2023 16:32:55,69.98,37.970,43.22,,
186,11/11/2023 16:42:55,69.94,38.040,43.24,,
187,11/11/2023 16:52:55,69.94,38.180,43.33,,
188,11/11/2023 17:02:55,69.98,37.700,43.03,,
189,11/11/2023 17:12:55,70.11,37.760,43.19,,
190,11/11/2023 17:22:55,70.11,37.920,43.30,,
191,11/11/2023 17:32:55,70.07,38.020,43.34,,
192,11/11/2023 17:42:55,70.03,37.990,43.29,,
193,11/11/2023 17:52:55,69.98,38.090,43.30,,
194,11/11/2023 18:02:55,69.91,38.230,43.33,,
195,11/11/2023 18:12:55,69.85,38.280,43.32,,
196,11/11/2023 18:22:55,69.76,38.330,43.28,,
197,11/11/2023 18:32:55,69.73,38.470,43.34,,
198,11/11/2023 18:42:55,69.82,38.230,43.25,,
199,11/11/2023 18:52:55,69.94,38.320,43.43,,
200,11/11/2023 19:02:55,69.94,38.420,43.50,,
201,11/11/2023 19:12:55,69.85,38.450,43.44,,
202,11/11/2023 19:22:55,69.76,38.570,43.44,,
203,11/11/2023 19:32:55,69.69,38.630,43.42,,
204,11/11/2023 19:42:55,69.60,38.640,43.34,,
205,11/11/2023 19:52:55,69.51,38.640,43.26,,
206,11/11/2023 20:02:55,69.55,38.490,43.19,,
207,11/11/2023 20:12:55,69.69,38.550,43.36,,
208,11/11/2023 20:22:55,69.69,38.680,43.45,,
209,11/11/2023 20:32:55,69.60,38.700,43.38,,
210,11/11/2023 20:42:55,69.51,38.810,43.38,,
211,11/11/2023 20:52:55,69.48,38.840,43.36,,
212,11/11/2023 21:02:55,69.42,38.860,43.33,,
213,11/11/2023 21:12:55,69.39,38.850,43.29,,
214,11/11/2023 21:22:55,69.48,38.710,43.28,,
215,11/11/2023 21:32:55,69.55,38.830,43.42,,
216,11/11/2023 21:42:55,69.51,38.770,43.35,,
217,11/11/2023 21:52:55,69.42,38.950,43.39,,
218,11/11/2023 22:02:55,69.39,39.040,43.42,,
219,11/11/2023 22:12:55,69.30,39.150,43.41,,
220,11/11/2023 22:22:55,69.26,39.030,43.30,,
221,11/11/2023 22:32:55,69.30,38.830,43.20,,
222,11/11/2023 22:42:55,69.42,38.810,43.30,,
223,11/11/2023 22:52:55,69.42,39.030,43.45,,
224,11/11/2023 23:02:55,69.35,39.180,43.48,,
225,11/11/2023 23:12:55,69.26,39.030,43.30,,
226,11/11/2023 23:22:55,69.17,38.980,43.18,,
227,11/11/2023 23:32:55,69.17,39.290,43.40,,
228,11/11/2023 23:42:55,69.21,38.850,43.13,,
229,11/11/2023 23:52:55,69.39,38.870,43.31,,
230,11/12/2023 00:02:55,69.42,39.020,43.44,,
231,11/12/2023 00:12:55,69.39,38.960,43.36,,
232,11/12/2023 00:22:55,69.30,38.900,43.25,,
233,11/12/2023 00:32:55,69.17,39.040,43.23,,
234,11/12/2023 00:42:55,69.08,39.150,43.22,,
235,11/12/2023 00:52:55,69.08,39.110,43.19,,
236,11/12/2023 01:02:55,69.17,38.930,43.16,,
237,11/12/2023 01:12:55,69.30,39.030,43.33,,
238,11/12/2023 01:22:55,69.26,38.980,43.27,,
239,11/12/2023 01:32:55,69.17,38.940,43.16,,
240,11/12/2023 01:42:55,69.04,38.980,43.08,,
241,11/12/2023 01:52:55,68.95,39.180,43.13,,
242,11/12/2023 02:02:55,68.92,39.200,43.11,,
243,11/12/2023 02:12:55,68.95,39.000,43.01,,
244,11/12/2023 02:22:55,69.08,39.000,43.12,,
245,11/12/2023 02:32:55,69.17,39.060,43.24,,
246,11/12/2023 02:42:55,69.08,38.950,43.08,,
247,11/12/2023 02:52:55,69.01,38.990,43.05,,
248,11/12/2023 03:02:55,68.92,39.110,43.04,,
249,11/12/2023 03:12:55,68.79,39.150,42.96,,
250,11/12/2023 03:22:55,68.79,39.090,42.92,,
251,11/12/2023 03:32:55,68.86,39.080,42.98,,
252,11/12/2023 03:42:55,69.01,39.010,43.06,,
253,11/12/2023 03:52:55,69.01,39.030,43.07,,
254,11/12/2023 04:02:55,68.92,39.110,43.04,,
255,11/12/2023 04:12:55,68.83,39.080,42.95,,
256,11/12/2023 04:22:55,68.70,39.170,42.89,,
257,11/12/2023 04:32:55,68.61,39.170,42.82,,
258,11/12/2023 04:42:55,68.58,39.190,42.80,,
259,11/12/2023 04:52:55,68.70,39.200,42.91,,
260,11/12/2023 05:02:55,68.86,39.130,43.01,,
261,11/12/2023 05:12:55,68.86,39.060,42.97,,
262,11/12/2023 05:22:55,68.74,39.000,42.81,,
263,11/12/2023 05:32:55,68.58,39.140,42.76,,
264,11/12/2023 05:42:55,68.40,39.250,42.68,,
265,11/12/2023 05:52:55,68.36,39.400,42.74,,
266,11/12/2023 06:02:55,68.58,39.180,42.79,,
267,11/12/2023 06:12:55,68.70,39.060,42.82,,
268,11/12/2023 06:22:55,68.83,38.950,42.86,,
269,11/12/2023 06:32:55,68.92,38.810,42.85,,
270,11/12/2023 06:42:55,68.86,38.840,42.82,,
271,11/12/2023 06:52:55,68.65,38.980,42.72,,
272,11/12/2023 07:02:55,68.52,38.980,42.61,,
273,11/12/2023 07:12:55,68.40,39.170,42.62,,
274,11/12/2023 07:22:55,68.27,39.200,42.53,,
275,11/12/2023 07:32:55,68.27,39.290,42.59,,
276,11/12/2023 07:42:55,68.40,39.250,42.67,,
277,11/12/2023 07:52:55,68.61,39.000,42.70,,
278,11/12/2023 08:02:55,68.79,38.840,42.76,,
279,11/12/2023 08:12:55,68.86,38.730,42.75,,
280,11/12/2023 08:22:55,68.95,38.660,42.78,,
281,11/12/2023 08:32:55,69.08,38.570,42.83,,
282,11/12/2023 08:42:55,69.13,38.540,42.86,,
283,11/12/2023 08:52:55,69.04,38.460,42.73,,
284,11/12/2023 09:02:55,68.92,38.760,42.81,,
285,11/12/2023 09:12:55,68.79,38.760,42.70,,
286,11/12/2023 09:22:55,68.70,38.870,42.70,,
287,11/12/2023 09:32:55,68.61,38.830,42.59,,
288,11/12/2023 09:42:55,68.79,38.870,42.78,,
289,11/12/2023 09:52:55,69.01,38.760,42.89,,
290,11/12/2023 10:02:55,69.17,38.590,42.93,,
291,11/12/2023 10:12:55,69.35,38.700,43.16,,
292,11/12/2023 10:22:55,69.35,38.670,43.14,,
293,11/12/2023 10:32:55,69.26,38.740,43.10,,
294,11/12/2023 10:42:55,69.17,38.880,43.12,,
295,11/12/2023 10:52:55,69.13,38.750,43.00,,
296,11/12/2023 11:02:55,69.13,39.010,43.17,,
297,11/12/2023 11:12:55,69.17,38.840,43.09,,
298,11/12/2023 11:22:55,69.39,38.770,43.24,,
299,11/12/2023 11:32:55,69.60,38.690,43.38,,
300,11/12/2023 11:42:55,69.64,38.940,43.58,,
301,11/12/2023 11:52:55,69.69,38.850,43.57,,
302,11/12/2023 12:02:55,69.64,38.770,43.46,,
303,11/12/2023 12:12:55,69.64,38.800,43.48,,
304,11/12/2023 12:22:55,69.64,38.800,43.48,,
305,11/12/2023 12:32:55,69.69,38.860,43.57,,
306,11/12/2023 12:42:55,69.73,38.830,43.58,,
307,11/12/2023 12:52:55,69.76,38.830,43.62,,
308,11/12/2023 13:02:55,69.82,38.800,43.64,,
309,11/12/2023 13:12:55,69.91,38.790,43.72,,
310,11/12/2023 13:22:55,69.94,38.790,43.75,,
311,11/12/2023 13:32:55,69.98,38.680,43.71,,
312,11/12/2023 13:42:55,70.07,38.630,43.75,,
313,11/12/2023 13:52:55,70.16,38.570,43.79,,
314,11/12/2023 14:02:55,70.20,38.580,43.83,,
315,11/12/2023 14:12:55,70.29,38.530,43.87,,
316,11/12/2023 14:22:55,70.32,38.570,43.94,,
317,11/12/2023 14:32:55,70.41,38.530,43.99,,
318,11/12/2023 14:42:55,70.47,38.460,43.99,,
319,11/12/2023 14:52:55,70.59,38.420,44.08,,
320,11/12/2023 15:02:55,70.68,38.290,44.07,,
321,11/12/2023 15:12:55,70.81,38.180,44.11,,
322,11/12/2023 15:22:55,70.88,38.150,44.15,,
323,11/12/2023 15:32:55,70.97,38.070,44.17,,
324,11/12/2023 15:42:55,71.06,38.100,44.27,,
325,11/12/2023 15:52:55,71.15,38.060,44.32,,
326,11/12/2023 16:02:55,71.24,38.030,44.39,,
327,11/12/2023 16:12:55,71.28,37.980,44.38,,
328,11/12/2023 16:22:55,71.31,37.970,44.41,,
329,11/12/2023 16:32:55,71.37,37.910,44.41,,
330,11/12/2023 16:42:55,71.40,37.960,44.48,,
331,11/12/2023 16:52:55,71.40,37.930,44.46,,
332,11/12/2023 17:02:55,71.40,38.000,44.51,,
333,11/12/2023 17:12:55,71.37,37.980,44.46,,
334,11/12/2023 17:22:55,71.31,38.040,44.45,,
335,11/12/2023 17:32:55,71.24,38.120,44.45,,
336,11/12/2023 17:42:55,71.15,38.200,44.42,,
337,11/12/2023 17:52:55,71.10,38.280,44.43,,
338,11/12/2023 18:02:55,71.02,38.330,44.40,,
339,11/12/2023 18:12:55,70.93,38.430,44.39,,
340,11/12/2023 18:22:55,70.84,38.510,44.36,,
341,11/12/2023 18:32:55,70.81,38.570,44.37,,
342,11/12/2023 18:42:55,70.72,38.660,44.35,,
343,11/12/2023 18:52:55,70.63,38.710,44.31,,
344,11/12/2023 19:02:55,70.54,38.780,44.27,,
345,11/12/2023 19:12:55,70.47,38.870,44.27,,
346,11/12/2023 19:22:55,70.38,38.920,44.22,,
347,11/12/2023 19:32:55,70.29,38.980,44.18,,
348,11/12/2023 19:42:55,70.20,39.030,44.14,,
349,11/12/2023 19:52:55,70.16,39.060,44.12,,
350,11/12/2023 20:02:55,70.20,39.090,44.18,,
351,11/12/2023 20:12:55,70.29,38.850,44.10,,
352,11/12/2023 20:22:55,70.29,39.060,44.24,,
353,11/12/2023 20:32:55,70.25,39.030,44.18,,
354,11/12/2023 20:42:55,70.16,39.030,44.10,,
355,11/12/2023 20:52:55,70.03,39.030,43.99,,
356,11/12/2023 21:02:55,69.94,39.110,43.96,,
357,11/12/2023 21:12:55,69.82,39.200,43.91,,
358,11/12/2023 21:22:55,69.73,39.250,43.87,,
359,11/12/2023 21:32:55,69.82,39.220,43.93,,
360,11/12/2023 21:42:55,69.94,39.270,44.07,,
361,11/12/2023 21:52:55,69.91,39.270,44.04,,
362,11/12/2023 22:02:55,69.82,39.230,43.93,,
363,11/12/2023 22:12:55,69.69,39.270,43.85,,
364,11/12/2023 22:22:55,69.60,39.370,43.83,,
365,11/12/2023 22:32:55,69.51,39.590,43.90,,
366,11/12/2023 22:42:55,69.51,39.500,43.84,,
367,11/12/2023 22:52:55,69.64,39.400,43.88,,
368,11/12/2023 23:02:55,69.73,39.460,44.00,,
369,11/12/2023 23:12:55,69.69,39.430,43.96,,
370,11/12/2023 23:22:55,69.55,39.500,43.87,,
371,11/12/2023 23:32:55,69.42,39.500,43.76,,
372,11/12/2023 23:42:55,69.30,39.610,43.71,,
373,11/12/2023 23:52:55,69.30,39.610,43.71,,
374,11/13/2023 00:02:55,69.48,39.500,43.80,,
375,11/13/2023 00:12:55,69.55,39.600,43.94,,
376,11/13/2023 00:22:55,69.48,39.620,43.89,,
377,11/13/2023 00:32:55,69.39,39.520,43.74,,
378,11/13/2023 00:42:55,69.26,39.560,43.65,,
379,11/13/2023 00:52:55,69.13,39.690,43.63,,
380,11/13/2023 01:02:55,69.17,39.590,43.59,,
381,11/13/2023 01:12:55,69.42,39.450,43.73,,
382,11/13/2023 01:22:55,69.42,39.530,43.78,,
383,11/13/2023 01:32:55,69.35,39.500,43.69,,
384,11/13/2023 01:42:55,69.26,39.390,43.54,,
385,11/13/2023 01:52:55,69.13,39.530,43.52,,
386,11/13/2023 02:02:55,69.04,39.580,43.47,,
387,11/13/2023 02:12:55,69.17,39.530,43.55,,
388,11/13/2023 02:22:55,69.39,39.290,43.59,,
389,11/13/2023 02:32:55,69.42,39.320,43.64,,
390,11/13/2023 02:42:55,69.35,39.260,43.54,,
391,11/13/2023 02:52:55,69.21,39.230,43.38,,
392,11/13/2023 03:02:55,69.08,39.340,43.34,,
393,11/13/2023 03:12:55,69.01,39.430,43.34,,
394,11/13/2023 03:22:55,69.13,39.340,43.39,,
395,11/13/2023 03:32:55,69.30,39.310,43.52,,
396,11/13/2023 03:42:55,69.26,39.270,43.46,,
397,11/13/2023 03:52:55,69.13,39.210,43.31,,
398,11/13/2023 04:02:55,69.01,39.260,43.23,,
399,11/13/2023 04:12:55,68.86,39.310,43.13,,
400,11/13/2023 04:22:55,68.92,39.450,43.28,,
401,11/13/2023 04:32:55,69.13,39.270,43.35,,
402,11/13/2023 04:42:55,69.35,39.070,43.41,,
403,11/13/2023 04:52:55,69.35,39.060,43.40,,
404,11/13/2023 05:02:55,69.21,39.020,43.24,,
405,11/13/2023 05:12:55,69.08,39.030,43.14,,
406,11/13/2023 05:22:55,68.92,39.170,43.09,,
407,11/13/2023 05:32:55,68.86,39.290,43.12,,
408,11/13/2023 05:42:55,68.95,39.200,43.14,,
409,11/13/2023 05:52:55,69.08,39.090,43.18,,
410,11/13/2023 06:02:55,69.13,39.090,43.23,,
411,11/13/2023 06:12:55,69.04,38.980,43.07,,
412,11/13/2023 06:22:55,68.92,39.090,43.03,,
413,11/13/2023 06:32:55,68.79,39.140,42.95,,
414,11/13/2023 06:42:55,68.70,39.330,43.00,,
415,11/13/2023 06:52:55,68.74,39.260,42.99,,
416,11/13/2023 07:02:55,68.83,39.230,43.05,,
417,11/13/2023 07:12:55,69.01,39.120,43.14,,
418,11/13/2023 07:22:55,69.13,38.980,43.16,,
419,11/13/2023 07:32:55,69.21,39.010,43.24,,
420,11/13/2023 07:42:55,69.13,38.940,43.13,,
421,11/13/2023 07:52:55,69.04,39.030,43.10,,
422,11/13/2023 08:02:55,69.01,39.130,43.14,,
423,11/13/2023 08:12:55,68.86,39.170,43.04,,
424,11/13/2023 08:22:55,68.86,39.210,43.07,,
425,11/13/2023 08:32:55,69.04,39.260,43.26,,
426,11/13/2023 08:42:55,69.21,39.130,43.32,,
427,11/13/2023 08:52:55,69.39,38.750,43.23,,
428,11/13/2023 09:02:55,69.35,39.010,43.37,,
429,11/13/2023 09:12:55,69.26,39.050,43.31,,
430,11/13/2023 09:22:55,69.04,38.770,42.93,,
431,11/13/2023 09:32:55,69.04,39.060,43.13,,
432,11/13/2023 09:42:55,69.01,39.040,43.08,,
433,11/13/2023 09:52:55,69.04,39.060,43.13,,
434,11/13/2023 10:02:55,69.17,38.950,43.16,,
435,11/13/2023 10:12:55,69.42,38.960,43.40,,
436,11/13/2023 10:22:55,69.64,38.900,43.55,,
437,11/13/2023 10:32:55,69.69,38.850,43.57,,
438,11/13/2023 10:42:55,69.69,38.750,43.50,,
439,11/13/2023 10:52:55,69.69,38.780,43.52,,
440,11/13/2023 11:02:55,69.73,38.880,43.62,,
441,11/13/2023 11:12:55,69.73,38.840,43.59,,
442,11/13/2023 11:22:55,69.76,38.830,43.62,,
443,11/13/2023 11:32:55,69.82,38.900,43.71,,
444,11/13/2023 11:42:55,69.91,38.850,43.76,,
445,11/13/2023 11:52:55,69.94,38.760,43.73,,
446,11/13/2023 12:02:55,70.03,38.840,43.86,,
447,11/13/2023 12:12:55,70.11,38.840,43.93,,
448,11/13/2023 12:22:55,70.20,38.800,43.98,,
449,11/13/2023 12:32:55,70.29,38.810,44.07,,
450,11/13/2023 12:42:55,70.41,38.740,44.13,,
451,11/13/2023 12:52:55,70.50,38.800,44.25,,
452,11/13/2023 13:02:55,70.63,38.660,44.27,,
453,11/13/2023 13:12:55,70.72,38.680,44.37,,
454,11/13/2023 13:22:55,70.72,37.480,43.54,,
455,11/13/2023 13:32:55,70.63,33.080,40.22,,
456,11/13/2023 13:42:55,70.59,31.870,39.24,,
457,11/13/2023 13:52:55,70.54,30.710,38.24,,
458,11/13/2023 14:02:55,70.54,29.400,37.13,,
459,11/13/2023 14:12:55,70.54,28.510,36.35,,
460,11/13/2023 14:22:55,70.63,30.390,38.05,,
461,11/13/2023 14:32:55,70.68,27.720,35.77,,
462,11/13/2023 14:42:55,70.68,27.130,35.22,,
463,11/13/2023 14:52:55,70.72,26.780,34.93,,
464,11/13/2023 15:02:55,70.75,26.310,34.51,,
465,11/13/2023 15:12:55,70.81,26.460,34.70,,
466,11/13/2023 15:22:55,70.84,25.730,34.03,,
467,11/13/2023 15:32:55,70.88,25.660,34.00,,
468,11/13/2023 15:42:55,70.93,25.320,33.71,,
469,11/13/2023 15:52:55,71.02,25.780,34.23,,
470,11/13/2023 16:02:55,71.19,25.840,34.43,,
471,11/13/2023 16:12:55,71.28,25.100,33.78,,
472,11/13/2023 16:22:55,71.31,25.080,33.79,,
473,11/13/2023 16:32:55,71.37,26.280,35.01,,
474,11/13/2023 16:42:55,71.37,26.770,35.47,,
475,11/13/2023 16:52:55,71.37,26.940,35.63,,
476,11/13/2023 17:02:55,71.31,27.070,35.71,,
477,11/13/2023 17:12:55,71.28,26.950,35.56,,
478,11/13/2023 17:22:55,71.19,27.120,35.65,,
479,11/13/2023 17:32:55,71.15,27.450,35.92,,
